image,seed,method,psnr,ssim,brisque,entropy,time_ms
kodim07,0,Proposed,19.569160379049347,0.4640634298195688,50.26840113857722,7.511040687561035,77.98804099996914
kodim07,1,Low-light(input),9.763778431992847,0.28843411210827197,30.317880767677565,5.974899768829346,0.0
kodim07,1,GHE,17.126005895370213,0.4195477554206632,49.05011533807564,7.815978050231934,1.6608290000021952
kodim07,1,Gamma,15.417061238308627,0.4885686679014603,44.40179038834194,6.789076805114746,1.6966019999813398
kodim07,1,CLAHE-only,15.494399698209932,0.45388686088229274,48.347365779146884,7.407742977142334,2.6578610000456138
kodim07,1,SSR-only,16.274566735808214,0.3970345594133535,54.145267424541856,7.503268241882324,41.54529300001286
kodim07,1,Fixed-fusion,18.99226910787176,0.4685409457960386,51.49915017070552,7.492944717407227,41.523652999956084
kodim07,1,Proposed,19.572273956922086,0.46479993772752454,51.75237820880838,7.509026527404785,82.3574500000177
kodim07,2,Low-light(input),9.763159149475769,0.2881658598088223,30.25158717454744,5.975459098815918,0.0
kodim07,2,GHE,17.12825257502063,0.4201067256868782,48.289333627112654,7.81519889831543,1.8334929999923588
kodim07,2,Gamma,15.412632099401922,0.48836172676307116,44.35783615817704,6.789081573486328,2.005795999991733
kodim07,2,CLAHE-only,15.481414459055534,0.4542587902784699,48.39702879294427,7.4079437255859375,2.6874789999737914
kodim07,2,SSR-only,16.26170596217504,0.39657286661676633,54.0371017794308,7.502681255340576,39.324148999980935
kodim07,2,Fixed-fusion,18.98954291065541,0.4688431032555078,50.57772337748642,7.49322509765625,43.05676000001313
kodim07,2,Proposed,19.570300554643346,0.46495475486594073,50.72545064333994,7.5091962814331055,77.66228200000569
kodim19,0,Low-light(input),9.567747269182705,0.32467825249377114,30.173812930810726,6.346119403839111,0.0
kodim19,0,GHE,17.68844815909488,0.4014360511173387,53.86413751817358,7.7775187492370605,1.9021659999793883
kodim19,0,Gamma,14.946964906321103,0.46971258870616417,54.76827292612094,7.082455158233643,2.052407000007861
kodim19,0,CLAHE-only,13.742876719726896,0.42711589704281866,52.9521921765722,7.332857608795166,2.917569999965508
kodim19,0,SSR-only,14.806442083391552,0.35841250291589916,65.04315830827377,7.38247013092041,34.570696000002954
kodim19,0,Fixed-fusion,17.49320496786726,0.4367880162713702,57.23010593733167,7.41515588760376,36.01803500004053
kodim19,0,Proposed,18.66422626104319,0.43669777019972383,57.84553088601055,7.484287261962891,63.65201099998785
kodim19,1,Low-light(input),9.569131948931474,0.3250411824448988,30.44972154448098,6.347752571105957,0.0
kodim19,1,GHE,17.697175253209757,0.4023150289612425,56.4935433822063,7.7787933349609375,1.9873090000146476
kodim19,1,Gamma,14.951324974991431,0.470940947372529,55.94675325204955,7.085361480712891,1.9563879999964229
kodim19,1,CLAHE-only,13.733613601560625,0.42726816024218234,56.363407855658664,7.332719802856445,2.916830000003756
kodim19,1,SSR-only,14.768409102541966,0.35874221955791286,65.68284062047442,7.38477897644043,33.840533000045525
kodim19,1,Fixed-fusion,17.507566239010302,0.43765307510933377,59.31712658351111,7.416725158691406,34.78486699998484
kodim19,1,Proposed,18.683071744989682,0.4375289928412441,59.55562058231564,7.4860100746154785,65.67403999997623
kodim19,2,Low-light(input),9.567941548653843,0.3247747681167062,29.105792481346015,6.346358299255371,0.0
kodim19,2,GHE,17.693600158100747,0.40097711228465815,53.105364648268704,7.7787275314331055,1.8746490000012273
kodim19,2,Gamma,14.946324501120547,0.469638674278781,54.621036637220044,7.083909034729004,2.032170000006772
kodim19,2,CLAHE-only,13.733435180878635,0.42634978638223386,54.84305863744825,7.333172798156738,2.9309430000239445
kodim19,2,SSR-only,14.825792349240468,0.35916777180572873,64.77558749295505,7.389651775360107,33.46630700002606
kodim19,2,Fixed-fusion,17.472927861580448,0.4369017149005208,57.80230466248199,7.418655872344971,35.57768899997882
kodim19,2,Proposed,18.640081331051604,0.43684793926531923,57.95371203202805,7.487344741821289,71.25253699996392
kodim23,0,Low-light(input),10.25996183406537,0.288813918399339,17.83321084683186,6.252601146697998,0.0
kodim23,0,GHE,17.552792002741366,0.35155067389989525,54.588382349597026,7.706707000732422,1.7461680000110391
kodim23,0,Gamma,15.142678835643304,0.40627964371579867,43.04178346231069,6.992641448974609,1.6907940000692179
kodim23,0,CLAHE-only,14.121833996534498,0.336717695104833,51.13568172095731,7.220288276672363,2.8273809999745936
kodim23,0,SSR-only,16.098042087842504,0.32020442906615837,55.087993957048155,7.444228172302246,39.606471999945825
kodim23,0,Fixed-fusion,16.900880369770423,0.3503606941379134,52.94808197542258,7.327206611633301,42.70508800004791
kodim23,0,Proposed,17.84876054194981,0.3535087528837262,53.78607121513002,7.399635314941406,82.96759400002429
kodim23,1,Low-light(input),10.25962137887148,0.2892203590271066,16.799904907586864,6.252833843231201,0.0
kodim23,1,GHE,17.565381998198557,0.3525095806568754,55.18709571244469,7.707719802856445,1.6836129999546756
kodim23,1,Gamma,15.146173888949146,0.40710702869095877,43.18325691449874,6.99289083480835,1.7787209999369225
kodim23,1,CLAHE-only,14.129935702977114,0.3373917704819445,51.061121837921604,7.22329044342041,2.715265000006184
kodim23,1,SSR-only,16.070892791427454,0.32044497196855604,55.81080815521304,7.442615509033203,41.19339500005026
kodim23,1,Fixed-fusion,16.92586143819828,0.35101938902932,53.2425298163441,7.32779598236084,43.392552999989675
kodim23,1,Proposed,17.876803233259135,0.3540619118608445,53.80210255151118,7.400679111480713,79.89791600004992
kodim23,2,Low-light(input),10.259168876089554,0.28874677756044065,18.801713312447163,6.25223445892334,0.0
kodim23,2,GHE,17.55752921057955,0.3515281065662302,53.276271088082325,7.708135604858398,1.7882550000649644
kodim23,2,Gamma,15.14167469840287,0.40627020841415823,43.04776939331916,6.99343204498291,1.6927289999557615
kodim23,2,CLAHE-only,14.119134324731759,0.33688107538572026,50.40370064198268,7.221007347106934,2.701297999919916
kodim23,2,SSR-only,16.093078686809573,0.3202235101387466,54.60347025824555,7.44318962097168,41.05142700007036
kodim23,2,Fixed-fusion,16.896135323787796,0.350261931956186,51.831083679057286,7.326635360717773,42.87197100006779
kodim23,2,Proposed,17.845464080345877,0.353365770646318,52.6480734109293,7.399445056915283,75.4601560000765
